Date AD,Date BS,Stations,Minimun Temprature,Maximum Temprature,Rainfall
2012/1/27,2068-10-13,Okhaldhunga,,3.6,0
2012/1/27,2068-10-13,Taplejung,14.9,5.4,0
2012/1/27,2068-10-13,Dhankuta,20.4,5.4,0
2012/1/27,2068-10-13,Biratnagar,22.5,7,0
2012/1/28,2068-10-14,Dadeldhura,14.2,2,0
2012/1/28,2068-10-14,Dipayal,24.7,5.6,0
2012/1/28,2068-10-14,Dhangadi,22.2,5.2,0
2012/1/28,2068-10-14,Birendranagar,23.2,,0
2012/1/28,2068-10-14,Nepalgunj,22.9,4,0
2012/1/28,2068-10-14,Jumla,13.4,-6.6,0
2012/1/28,2068-10-14,Dang,21.6,4.2,0
2012/1/28,2068-10-14,Pokhara,,7.7,0
2012/1/28,2068-10-14,Bhairahawa,21.6,4.9,0
2012/1/28,2068-10-14,Simra,23.7,4.4,0
2012/1/28,2068-10-14,Kathmandu,19.7,2.5,0
2012/1/28,2068-10-14,Taplejung,13.8,3.6,0
2012/1/28,2068-10-14,Biratnagar,24.5,6.2,0
2012/1/28,2068-10-14,Jiri,17.6,-3.5,0.0*
2012/1/29,2068-10-15,Dadeldhura,15.3,2,0
2012/1/29,2068-10-15,Dipayal,24.8,2.6,0
2012/1/29,2068-10-15,Dhangadi,22,4.2,0
2012/1/29,2068-10-15,Birendranagar,22.8,3,0
2012/1/29,2068-10-15,Nepalgunj,23.2,4,0
2012/1/29,2068-10-15,Jumla,14,-7.6,0
2012/1/29,2068-10-15,Dang,22,,0
2012/1/29,2068-10-15,Pokhara,20.4,6.5,0
2012/1/29,2068-10-15,Bhairahawa,23.4,5.6,0
2012/1/29,2068-10-15,Simra,24,5,0
2012/1/29,2068-10-15,Kathmandu,20.5,1.7,0
2012/1/29,2068-10-15,Okhaldhunga,17.4,2.6,0
2012/1/29,2068-10-15,Taplejung,,3.5,0
2012/1/29,2068-10-15,Dhankuta,19.8,5.6,0
2012/1/29,2068-10-15,Biratnagar,24,6.5,0
2012/1/29,2068-10-15,Jiri,16,-5,0.0*
2012/1/30,2068-10-16,Dadeldhura,15.3,2.2,0
2012/1/30,2068-10-16,Dipayal,25.4,2.4,0
2012/1/30,2068-10-16,Dhangadi,22.7,4,0
